brand    , processor_number                                    , vertical_segment     , socket_supported                , base_frequency_ghz, total_cores, total_threads, tdp_w , launch_year, launch_date
Other    , 686 GEN                                             , Socket               ,                                 ,                   ,         1.0,           1.0,       ,      2009.0, Q1 2009
ARM      , AARCH64                                             , Mobile/EmbeddedSocket,                                 ,               2.2 ,         8.0,           8.0,       ,      2021.0, Q1 2021
ARM      , AARCH64                                             , Mobile/EmbeddedSocket,                                 ,               2.2 ,         8.0,           8.0,       ,      2021.0, Q1 2021
ARM      , AARCH64                                             , Mobile/EmbeddedSocket,                                 ,               2.1 ,         8.0,           8.0,       ,      2021.0, Q1 2021
Other    , AC8257V-WAB                                         , Socket               ,                                 ,               2.0 ,         8.0,           8.0,       ,      2021.0, Q1 2021
Other    , AC8259V-WAB                                         , Mobile/EmbeddedSocket,                                 ,               2.2 ,         8.0,           8.0,       ,      2024.0, Q1 2024
Allwinner, A133                                                , Mobile/EmbeddedSocket,                                 ,               1.8 ,         4.0,           4.0,       ,      2023.0, Q1 2023
Allwinner, A333                                                , Mobile/EmbeddedSocket,                                 ,               1.8 ,         5.0,           5.0,       ,      2025.0, Q1 2025
Allwinner, A523                                                , Mobile/EmbeddedSocket,                                 ,               1.8 ,         8.0,           8.0,       ,      2023.0, Q1 2023
Allwinner, A527                                                , Mobile/EmbeddedSocket,                                 ,               2.0 ,         8.0,           8.0,       ,      2023.0, Q1 2023
Allwinner, A733                                                , Mobile/EmbeddedSocket,                                 ,               2.0 ,         8.0,           8.0,       ,      2025.0, Q1 2025
Allwinner, H618                                                , Mobile/EmbeddedSocket,                                 ,               1.4 ,         4.0,           4.0,       ,      2023.0, Q1 2023
Allwinner, H728                                                , Mobile/EmbeddedSocket,                                 ,               1.8 ,         8.0,           8.0,       ,      2024.0, Q1 2024
Amlogic  , AMLOGIC                                             , Mobile/EmbeddedSocket,                                 ,               2.2 ,         8.0,           8.0,       ,      2025.0, Q1 2025
Amlogic  , AMLA311D2                                           , Mobile/EmbeddedSocket,                                 ,               2.2 ,         8.0,           8.0,       ,      2025.0, Q1 2025
Amlogic  , AMLS905D3                                           , Mobile/EmbeddedSocket,                                 ,               1.9 ,         4.0,           4.0,       ,      2024.0, Q1 2024
Amlogic  , AMLS905X2                                           , Mobile/EmbeddedSocket,                                 ,               1.8 ,         4.0,           4.0,       ,      2024.0, Q1 2024
Amlogic  , AMLS905X4                                           , Mobile/EmbeddedSocket,                                 ,               2.0 ,         4.0,           4.0,       ,      2024.0, Q1 2024
Amlogic  , AMLS905X5                                           , Mobile/EmbeddedSocket,                                 ,               2.4 ,         4.0,           4.0,       ,      2024.0, Q1 2024
Amlogic  , AMLS905X5M                                          , Mobile/EmbeddedSocket,                                 ,               2.5 ,         4.0,           4.0,       ,      2025.0, Q1 2025
Amlogic  , AMLT982                                             , Mobile/EmbeddedSocket,                                 ,               1.9 ,         4.0,           4.0,       ,      2024.0, Q1 2024
Ampere   , ALTRA MAX                                           , ServerSocket         ,                                 ,                   ,       128.0,         128.0,       ,      2025.0, Q1 2025
Ampere   , ARM                                                 , ServerSocket         ,                                 ,               3.2 ,       192.0,         192.0,       ,      2024.0, Q1 2024
Other    , ANDROID VIRTUAL                                     , Mobile/EmbeddedSocket,                                 ,                   ,         6.0,           6.0,       ,      2026.0, Q1 2026
Other    , AOSP RANCHU                                         , Mobile/EmbeddedSocket,                                 ,                   ,         4.0,           4.0,       ,      2024.0, Q1 2024
Other    , AP201                                               , Mobile/EmbeddedSocket,                                 ,               1.8 ,         4.0,           4.0,       ,      2023.0, Q1 2023
